Phồn_thể,Giản_thể,Pinyin,Phiên_âm_Hán_Việt,Số_âm_HV,Tần_suất_rank
爐,炉,lú,lô / lò / lư / tro,4,1539
炉,炉,lú,~lò,1,1539
虧,亏,kuī,khuy / khuya,2,1540
亏,亏,kuī,~khuy,1,1540
蹇,蹇,jiǎn,kiển / kiễng,2,1541
鞋,鞋,xié,hài,1,1542
壯,壮,zhuàng,tráng,1,1543
壮,壮,zhuàng,táng,1,1543
繖,繖,sǎn,tản,1,1544
蓆,席,xí,tịch,1,1545
席,席,xí,tịch,1,1545
柔,柔,róu,nhu,1,1546
珞,珞,luò,lạc,1,1547
伴,伴,bàn,bạn,1,1548
欠,欠,qiàn,khiếm,1,1549
鏡,镜,jìng,kính / kẻng,2,1550
镜,镜,jìng,kẻng,1,1550
召,召,zhào,triệu / chiêu / chịu / thiệu,4,1551
拐,拐,guǎi,quải / quái / quảy / quầy,4,1552
柺,拐,guǎi,quải / quái / quảy / quầy,4,1552
枴,拐,guǎi,quải / quái / quảy / quầy,4,1552
戒,戒,jiè,giới,1,1553
仇,仇,chóu,cừu / thù,2,1554
瞞,瞒,mán,man / môn,2,1555
瞒,瞒,mán,môn,1,1555
砌,砌,qì,thế,1,1556
乾,干,qián / gān,can / kiền / càn,3,1557
鄭,郑,zhèng,trịnh,1,1558
郑,郑,zhèng,trịnh,1,1558
蓮,莲,lián,liên / sen,2,1559
莲,莲,lián,~rơm,1,1559
充,充,chōng,sung,1,1560
壋,垱,dàng,đương,1,1561
垱,垱,dàng,đương,1,1561
朗,朗,lǎng,lãng,1,1562
卵,卵,luǎn,noãn,1,1563
訂,订,dìng,đính,1,1564
订,订,dìng,đính,1,1564
餅,饼,bǐng,bính / bánh,2,1565
饼,饼,bǐng,bính,1,1565
銜,衔,xián,hàm,1,1566
衔,衔,xián,hàm,1,1566
霧,雾,wù,vụ,1,1567
雾,雾,wù,~vụ,1,1567
瞅,瞅,chǒu,thu,1,1568
纏,缠,chán,triền,1,1569
缠,缠,chán,triền,1,1569
息,息,xī,tức,1,1570
燕,燕,yàn,yến / yên / én,3,1571
璧,璧,bì,bích,1,1572
碼,码,mǎ,mã,1,1573
码,码,mǎ,mã,1,1573
胖,胖,pàng,bàn / phán / bỡn,3,1574
晉,晋,jìn,tấn,1,1575
晋,晋,jìn,tấn,1,1575
帖,帖,tiē,thiếp / thiệp,2,1576
鍐,鍐,zōng,tông,1,1577
磁,磁,cí,từ,1,1578
晃,晃,huǎng,hoảng / hoàng / quáng,3,1579
幕,幕,mù,mạc / màn / mộ / mán,4,1580
押,押,yā,áp,1,1581
熊,熊,xióng,hùng,1,1582
扣,扣,kòu,khấu,1,1583
釦,扣,kòu,khấu / khẩu,2,1583
健,健,jiàn,kiện,1,1584
鎵,镓,jiā,gia,1,1585
冠,冠,guān,quan / quán,2,1586
飄,飘,piāo,phiêu,1,1587
飘,飘,piāo,phiêu,1,1587
鎖,锁,suǒ,tỏa / toả,2,1588
锁,锁,suǒ,tỏa,1,1588
委,委,wěi,ủy / uỷ / uy,3,1589
烂,烂,làn,lạn,1,1590
桃,桃,táo,đào,1,1591
索,索,suǒ,tác / sách,2,1592
劈,劈,pī,phách,1,1593
鉤,钩,gōu,câu,1,1594
鈎,钩,gōu,câu,1,1594
钩,钩,gōu,câu,1,1594
堡,堡,bǎo,bảo,1,1595
粑,粑,bā,ba,1,1596
冬,冬,dōng,đông,1,1597
鼕,冬,dōng,đông,1,1597
優,优,yōu,ưu,1,1598
优,优,yōu,~ưu,1,1598
扁,扁,biǎn,biển / thiên,2,1599
捨,舍,shě,xả,1,1600
舍,舍,shě / shè,xá / xả,2,1600
滴,滴,dī,tích / trích / nhích,3,1601
喀,喀,kā,khách / ca,2,1602
縫,缝,fèng,phùng / phúng,2,1603
缝,缝,fèng,phùng,1,1603
野,野,yě,dã,1,1604
督,督,dū,đốc,1,1605
曬,晒,shài,sái,1,1606
晒,晒,shài,sái,1,1606
檐,檐,yán,diêm / thiềm,2,1607
蒸,蒸,zhēng,chưng,1,1608
丑,丑,chǒu,sửu,1,1609
醜,丑,chǒu,xú / xấu,2,1609
梅,梅,méi,mai,1,1610
井,井,jǐng,tỉnh,1,1611
稟,禀,bǐng,bẩm / lẫm,2,1612
禀,禀,bǐng,bẩm,1,1612
胃,胃,wèi,vị,1,1613
希,希,xī,hy / hơi,2,1614
粬,粬,qū,khúc,1,1615
抖,抖,dǒu,đẩu,1,1616
擒,擒,qín,cầm,1,1617
朵,朵,duǒ,đóa / đoá,2,1618
枝,枝,zhī,chi / kỳ,2,1619
麥,麦,mài,mạch,1,1620
麦,麦,mài,mạch,1,1620
淡,淡,dàn,đạm,1,1621
吊,吊,diào,điếu,1,1622
弔,吊,diào,điếu / đích,2,1622
塗,涂,tú,đồ / trà,2,1623
涂,涂,tú,đồ / dơ,2,1623
訪,访,fǎng,phóng / phỏng,2,1624
访,访,fǎng,~phỏng,1,1624
撫,抚,fǔ,phủ / mô / vỗ,3,1625
抚,抚,fǔ,~vỗ,1,1625
諾,诺,nuò,nặc,1,1626
诺,诺,nuò,nặc,1,1626
棄,弃,qì,khí,1,1627
弃,弃,qì,~khí,1,1627
截,截,jié,tiệt,1,1628
桿,杆,gǎn,can / cơn,2,1629
杆,杆,gān,can / cơn,2,1629
稀,稀,xī,hi / hy,2,1630
坑,坑,kēng,khanh / ganh,2,1631
稿,稿,gǎo,cảo,1,1632
夷,夷,yí,di / dì,2,1633
庵,庵,ān,am,1,1634
奴,奴,nú,nô,1,1635
懼,惧,jù,cụ,1,1636
惧,惧,jù,cự,1,1636
俗,俗,sú,tục,1,1637
嬸,婶,shěn,thẩm / thím,2,1638
婶,婶,shěn,thẩm,1,1638
鱗,鳞,lín,lân,1,1639
鳞,鳞,lín,lân,1,1639
困,困,kùn,khốn,1,1640
裁,裁,cái,tài / trài,2,1641
裂,裂,liè,liệt,1,1642
俊,俊,jùn,tuấn,1,1643
削,削,xuē,tước,1,1644
咋,咋,zǎ,trách / trá / chạ,3,1645
敬,敬,jìng,kính,1,1646
綘,綘,féng,phùng,1,1647
撐,撑,chēng,xanh / chống / xênh,3,1648
撑,撑,chēng,xênh,1,1648
暫,暂,zàn,tạm,1,1649
暂,暂,zàn,tạm,1,1649
催,催,cuī,thôi / thòi,2,1650
腎,肾,shèn,thận,1,1651
肾,肾,shèn,thận,1,1651
碧,碧,bì,bích / biếc / vách,3,1652
籍,籍,jí,tịch / tạ,2,1653
肺,肺,fèi,phế,1,1654
乎,乎,hū,hồ / hô,2,1655
叉,叉,chā,xoa,1,1656
添,添,tiān,thiêm / thêm,2,1657
湊,凑,còu,thấu,1,1658
凑,凑,còu,thấu,1,1658
拾,拾,shí,thập / thiệp / kiệp,3,1659
怨,怨,yuàn,oán,1,1660
浮,浮,fú,phù,1,1661
窯,窑,yáo,diêu,1,1662
窑,窑,yáo,diêu,1,1662
壺,壶,hú,hồ,1,1663
壶,壶,hú,hồ,1,1663
抄,抄,chāo,sao,1,1664
殘,残,cán,tàn / thàn,2,1665
残,残,cán,tàn,1,1665
蘭,兰,lán,lan,1,1666
兰,兰,lán,~lan,1,1666
笅,笅,jiao3,giáo,1,1667
猶,犹,yóu,do / dứu,2,1668
犹,犹,yóu,do,1,1668
祀,祀,sì,tự,1,1669
蝦,虾,xiā,hà,1,1670
虾,虾,xiā,hà,1,1670
囊,囊,náng,nang,1,1671
敘,叙,xù,tự,1,1672
叙,叙,xù,tự,1,1672
裹,裹,guǒ,khoả,1,1673
軸,轴,zhóu,trục,1,1674
轴,轴,zhóu,~trục,1,1674
寮,寮,liáo,liêu,1,1675
磷,磷,lín,lân / lấn,2,1676
綁,绑,bǎng,bảng,1,1677
绑,绑,bǎng,bảng,1,1677
披,披,pī,phi / phơ / bia,3,1678
返,返,fǎn,phản,1,1679
填,填,tián,điền / trần / trấn / điễn,4,1680
賦,赋,fù,phú,1,1681
赋,赋,fù,~phụ,1,1681
粘,粘,zhān,niêm,1,1682
沈,沈,shěn / chén,trầm / thẩm / đắm / trấm,4,1683
瀋,沈,shěn,thẩm / thẳm,2,1683
揪,揪,jiū,thu,1,1684
敏,敏,mǐn,mẫn,1,1685
階,阶,jiē,giai,1,1686
阶,阶,jiē,giai,1,1686
扭,扭,niǔ,nữu,1,1687
普,普,pǔ,phổ,1,1688
傛,傛,yong3,dụng,1,1689
蘄,蕲,qí,kỳ / kì,2,1690
蕲,蕲,qí,kì,1,1690
症,症,zhèng,chứng,1,1691
癥,症,zhēng,chứng / trưng,2,1691
攜,携,xié,huề,1,1692
携,携,xié,huề,1,1692
嶅,嶅,áo,ngao,1,1693
贊,赞,zàn,tán,1,1694
讚,赞,zàn,tán,1,1694
赞,赞,zàn,tán,1,1694
允,允,yǔn,duẫn,1,1695
務,务,wù,vụ,1,1696
务,务,wù,~vụ,1,1696
喲,哟,yō,ôi / dô,2,1697
哟,哟,yō,ôi,1,1697
斋,斋,zhāi,trai,1,1698
莖,茎,jīng,hành,1,1699
茎,茎,jīng,~kinh,1,1699
輩,辈,bèi,bối,1,1700
辈,辈,bèi,~bối,1,1700
溪,溪,xī,khê / khe,2,1701
候,候,hòu,hậu / hầu,2,1702
彼,彼,bǐ,bỉ,1,1703
灘,滩,tān,than,1,1704
滩,滩,tān,than,1,1704
瀛,瀛,yíng,doanh,1,1705
判,判,pàn,phán,1,1706
杈,杈,chā,xoa,1,1707
逆,逆,nì,nghịch / nghịnh,2,1708
炕,炕,kàng,kháng,1,1709
鐪,鐪,lu3,lộ,1,1710
掘,掘,jué,quật,1,1711
艙,舱,cāng,thương,1,1712
舱,舱,cāng,thương,1,1712
袍,袍,páo,bào,1,1713
篘,篘,chōu,sô / trừu,2,1714
陷,陷,xiàn,hãm,1,1715
氧,氧,yǎng,dưỡng,1,1716
搂,搂,lǒu,lâu,1,1717
綺,绮,qǐ,khỉ / ỷ,2,1718
绮,绮,qǐ,~khánh,1,1718
刮,刮,guā,quát,1,1719
颳,刮,guā,quát,1,1719
汪,汪,wāng,uông,1,1720
泰,泰,tài,thái,1,1721
欽,钦,qīn,khâm,1,1722
钦,钦,qīn,~khâm,1,1722
趨,趋,qū,xu / xúc,2,1723
趋,趋,qū,xu,1,1723
淑,淑,shū,thục,1,1724
評,评,píng,bình,1,1725
评,评,píng,bình,1,1725
矮,矮,ǎi,ải / nụy,2,1726
備,备,bèi,bị,1,1727
淮,淮,huái,hoài,1,1728
暈,晕,yūn,vựng / vừng,2,1729
晕,晕,yūn,~vừng,1,1729
猴,猴,hóu,hầu,1,1730
姐,姐,jiě,tỷ / thư / tả,3,1731
濂,濂,lián,liêm,1,1732
廷,廷,tíng,đình,1,1733
瘋,疯,fēng,phong,1,1734
疯,疯,fēng,phong,1,1734
伙,伙,huǒ,hỏa / hoả,2,1735
勬,勬,juan1,quyên,1,1736
兑,兑,duì,đoài,1,1737
嚐,尝,cháng,thường,1,1738
嘗,尝,cháng,thường,1,1738
尝,尝,cháng,thường,1,1738
焦,焦,jiāo,tiêu / tiều,2,1739
宣,宣,xuān,tuyên,1,1740
翼,翼,yì,dực,1,1741
爪,爪,zhǎo,trảo,1,1742
蹲,蹲,dūn,tồn / tỗn,2,1743
戳,戳,chuō,trạc / sác,2,1744
耐,耐,nài,nại,1,1745
劫,劫,jié,kiếp,1,1746
堝,埚,guō,qua,1,1747
池,池,chí,trì,1,1748
哎,哎,āi,ai,1,1749
舌,舌,shé,thiệt,1,1750
啟,启,qǐ,khải / khởi,2,1751
启,启,qǐ,khải,1,1751
岱,岱,dài,đại / đồi,2,1752
杭,杭,háng,hàng,1,1753
冊,册,cè,sách,1,1754
册,册,cè,sách,1,1754
垮,垮,kuǎ,khoả / khoai,2,1755
窄,窄,zhǎi,trách,1,1756
噴,喷,pēn,phún / phun,2,1757
喷,喷,pēn,~vồn,1,1757
導,导,dǎo,đạo,1,1758
导,导,dǎo,~đạo,1,1758
友,友,yǒu,hữu,1,1759
崖,崖,yá,nhai / day,2,1760
邀,邀,yāo,yêu,1,1761
蜂,蜂,fēng,phong / ong,2,1762
騰,腾,téng,đằng,1,1763
腾,腾,téng,đằng,1,1763
歡,欢,huān,hoan,1,1764
欢,欢,huān,hoan,1,1764
鳴,鸣,míng,minh,1,1765
鸣,鸣,míng,minh,1,1765
鏂,鏂,ou1,âu,1,1766
丘,丘,qiū,khâu / khiêu,2,1767
皺,皱,zhòu,trứu,1,1768
皱,皱,zhòu,~trứu,1,1768
奶,奶,nǎi,nãi / nái,2,1769
歪,歪,wāi,oai / oa / quay,3,1770
齒,齿,chǐ,xỉ,1,1771
齿,齿,chǐ,~xỉ,1,1771
卞,卞,biàn,biện,1,1772
蔡,蔡,cài,thái / sái / tát,3,1773
砰,砰,pēng,phanh,1,1774
厮,厮,sī,tư,1,1775
廝,厮,sī,tư,1,1775
罩,罩,zhào,tráo,1,1776
侯,侯,hóu,hầu / hậu,2,1777
錫,锡,xī,tích / thiếc,2,1778
锡,锡,xī,thiếc,1,1778
拒,拒,jù,cự / củ,2,1779
墨,墨,mò,mặc,1,1780
激,激,jī,kích / khích,2,1781
革,革,gé,cách / cức,2,1782
滄,沧,cāng,thương,1,1783
賢,贤,xián,hiền,1,1784
贤,贤,xián,~hiền,1,1784
踩,踩,cǎi,thải,1,1785
熬,熬,áo,ngao,1,1786
匯,汇,huì,hối,1,1787
滙,汇,huì,hối,1,1787
汇,汇,huì,~hối,1,1787
姆,姆,mǔ,mỗ / mẫu,2,1788
什,什,shén,thập / thậm,2,1789
兆,兆,zhào,triệu,1,1790
菌,菌,jūn,khuẩn,1,1791
筒,筒,tǒng,đồng,1,1792
嗤,嗤,chī,xuy,1,1793
擣,捣,dǎo,đảo,1,1794
搗,捣,dǎo,đảo / đẽo,2,1794
捣,捣,dǎo,đảo,1,1794
闷,闷,mèn,muộn,1,1795
烦,烦,fán,~phần,1,1796
玄,玄,xuán,huyền,1,1797
膽,胆,dǎn,đảm,1,1798
胆,胆,dǎn,đảm,1,1798
酶,酶,méi,môi,1,1799
巧,巧,qiǎo,xảo,1,1800
習,习,xí,tập,1,1801
习,习,xí,tập,1,1801
牢,牢,láo,lao,1,1802
湴,湴,bàn,~bạn,1,1803
謂,谓,wèi,vị,1,1804
谓,谓,wèi,~vị,1,1804
榮,荣,róng,vinh,1,1805
荣,荣,róng,~nhung,1,1805
釜,釜,fǔ,phủ,1,1806
後,后,hòu,hậu / hấu,2,1807
灞,灞,bà,bá,1,1808
苗,苗,miáo,miêu / meo,2,1809
驢,驴,lǘ,lư / lừa,2,1810
驴,驴,lǘ,~lừa,1,1810
魂,魂,hún,hồn,1,1811
良,良,liáng,lương,1,1812
謎,谜,mí,mê,1,1813
谜,谜,mí,mê,1,1813
侍,侍,shì,thị,1,1814
馳,驰,chí,trì,1,1815
驰,驰,chí,~trì,1,1815
婦,妇,fù,phụ,1,1816
妇,妇,fù,phụ,1,1816
盪,荡,dàng,đãng,1,1817
蕩,荡,dàng,đãng / đảng,2,1817
荡,荡,dàng,đãng,1,1817
賴,赖,lài,lại,1,1818
赖,赖,lài,lại,1,1818
岀,岀,chū,xuất,1,1819
岳,岳,yuè,nhạc,1,1820
掠,掠,lüè,lược / lướt,2,1821
耍,耍,shuǎ,sái / soạ / sọa,3,1822
肌,肌,jī,cơ,1,1823
箱,箱,xiāng,tương / sương / rương,3,1824
拌,拌,bàn,phan / bạn / bắn,3,1825
細,细,xì,tế / tới,2,1826
堵,堵,dǔ,đổ,1,1827
繁,繁,fán,phồn / bàn,2,1828
鐗,鐗,jiǎn,giản,1,1829
漿,浆,jiāng,tương,1,1830
浆,浆,jiāng,chương,1,1830
鍔,锷,è,ngạc,1,1831
汝,汝,rǔ,nhữ / nhớ,2,1832
腔,腔,qiāng,khang / xoang / khoang,3,1833
辯,辩,biàn,biện,1,1834
辩,辩,biàn,biện,1,1834
侵,侵,qīn,xâm,1,1835
仰,仰,yǎng,ngưỡng / nhạng,2,1836
禍,祸,huò,họa / hoạ,2,1837
祸,祸,huò,hoạ,1,1837
豎,竖,shù,thụ,1,1838
竪,竖,shù,thụ,1,1838
竖,竖,shù,thụ,1,1838
珍,珍,zhēn,trân,1,1839
染,染,rǎn,nhiễm / nhuộm,2,1840
豪,豪,háo,hào,1,1841
摘,摘,zhāi,trích,1,1842
棊,棋,qí,kỳ / cời,2,1843
棋,棋,qí,kỳ / kí / cời,3,1843
鍗,鍗,ti2,đề,1,1844
撰,撰,zhuàn,soạn / chuyển / tuyển,3,1845
旋,旋,xuán,toàn / hoàn / tuyền,3,1846
棍,棍,gùn,côn / gon / gòn,3,1847
愁,愁,chóu,sầu,1,1848
恭,恭,gōng,cung,1,1849
伐,伐,fá,phạt,1,1850
籤,签,qiān,thiêm,1,1851
簽,签,qiān,thiêm,1,1851
签,签,qiān,tiêm,1,1851
閲,阅,yuè,duyệt,1,1852
仁,仁,rén,nhân,1,1853
链,链,liàn,luyện,1,1854
慘,惨,cǎn,thảm,1,1855
惨,惨,cǎn,thảm,1,1855
夊,夊,suī,tuy,1,1856
慣,惯,guàn,quán / quen,2,1857
惯,惯,guàn,quán,1,1857
眉,眉,méi,mi / my,2,1858
傗,傗,chu4,xử,1,1859
閘,闸,zhá,áp / trập / sạp,3,1860
闸,闸,zhá,tập,1,1860
浪,浪,làng,lãng / lang,2,1861
漆,漆,qī,tất / thế,2,1862
娟,娟,juān,quyên,1,1863
肚,肚,dù,đỗ,1,1864
墳,坟,fén,phần / phẫn / bổn,3,1865
坟,坟,fén,phần / vun,2,1865
攔,拦,lán,lan / dan,2,1866
拦,拦,lán,~dan,1,1866
蠻,蛮,mán,man / mán,2,1867
蛮,蛮,mán,man,1,1867
遗,遗,yí,~di,1,1868
赦,赦,shè,xá,1,1869
羽,羽,yǔ,vũ / võ,2,1870
覆,覆,fù,phúc / phú,2,1871
屢,屡,lǚ,lũ,1,1872
屡,屡,lǚ,~lũ,1,1872
堅,坚,jiān,kiên,1,1873
坚,坚,jiān,kiên,1,1873
責,责,zé,trách / trái,2,1874
责,责,zé,trách,1,1874
叩,叩,kòu,khấu,1,1875
陀,陀,tuó,đà,1,1876
魦,魦,shā,sa,1,1877
麗,丽,lì,lệ / ly,2,1878
丽,丽,lì,lệ,1,1878
疑,疑,yí,nghi,1,1879
拽,拽,zhuài,duệ / dìa,2,1880
粒,粒,lì,lạp,1,1881
鈣,钙,gài,cái,1,1882
钙,钙,gài,~cái,1,1882
璁,璁,cōng,thông,1,1883
鍥,锲,qiè,khiết,1,1884
燜,焖,mèn,muộn,1,1885
焖,焖,mèn,muộn,1,1885
嚷,嚷,rǎng,nhượng,1,1886
撿,捡,jiǎn,kiểm,1,1887
捡,捡,jiǎn,~kiểm,1,1887
僕,仆,pú,bộc,1,1888
仆,仆,pū,bộc / phó / bọc,3,1888
织,织,zhī,~chức,1,1889
扒,扒,bā,bái / bát / bóc / bắt,4,1890
汎,泛,fàn,phiếm,1,1891
泛,泛,fàn,phiếm,1,1891
際,际,jì,tế,1,1892
际,际,jì,~tế,1,1892
技,技,jì,kỹ / kĩ,2,1893
競,竞,jìng,cạnh,1,1894
竞,竞,jìng,~cạnh,1,1894
桂,桂,guì,quế,1,1895
舵,舵,duò,đà,1,1896
域,域,yù,vực,1,1897
卿,卿,qīng,khanh,1,1898
竄,窜,cuàn,thoán,1,1899
窜,窜,cuàn,~thoán,1,1899
縛,缚,fù,phược / buộc / phọc,3,1900
缚,缚,fù,bác,1,1900
粥,粥,zhōu,chúc / dục,2,1901
苕,苕,sháo,điều / thiều,2,1902
郢,郢,yǐng,dĩnh,1,1903
吞,吞,tūn,thôn,1,1904
嗗,嗗,wā,cút,1,1905
梨,梨,lí,lê,1,1906
倚,倚,yǐ,ỷ,1,1907
勞,劳,láo,lao / lạo,2,1908
劳,劳,láo,~lao,1,1908
禾,禾,hé,hoà / hòa,2,1909
耶,耶,yé,da / gia,2,1910
拼,拼,pīn,bính / phanh,2,1911
甩,甩,shuǎi,suý,1,1912
序,序,xù,tự / tựa,2,1913
煉,炼,liàn,luyện,1,1914
炼,炼,liàn,luyện,1,1914
韃,鞑,dá,thát,1,1915
鞑,鞑,dá,thát,1,1915
卦,卦,guà,quái,1,1916
悟,悟,wù,ngộ,1,1917
服,服,fú,phục,1,1918
翠,翠,cuì,thúy / thuý,2,1919
咽,咽,yàn,yết / ế / yến / nhằn,4,1920
嚥,咽,yàn,yết / yến / nhằn,3,1920
續,续,xù,tục,1,1921
续,续,xù,~tục,1,1921
盒,盒,hé,hạp / hộp,2,1922
控,控,kòng,khống,1,1923
揭,揭,jiē,yết,1,1924
兜,兜,dōu,đâu,1,1925
崇,崇,chóng,sùng,1,1926
苯,苯,běn,bản,1,1927
賭,赌,dǔ,đổ,1,1928
赌,赌,dǔ,đảo,1,1928
吼,吼,hǒu,hống,1,1929
康,康,kāng,khang,1,1930
褰,褰,qiān,khiên,1,1931
鎶,鿔,gē,cà,1,1932
掙,挣,zhēng,tránh / tranh,2,1933
挣,挣,zhēng,~rinh,1,1933
鱅,鳙,yōng,dong / dung,2,1934
鳙,鳙,yōng,~dong,1,1934
僑,侨,qiáo,kiều / quều,2,1935
侨,侨,qiáo,kiều,1,1935
航,航,háng,hàng,1,1936
嶆,嶆,cao2,tào,1,1937
予,予,yǔ,dư / dữ / nhừ,3,1938
盆,盆,pén,bồn / bùn / bộn / dồn / buồn / bòn / vồn,7,1939
兘,兘,shǐ,~thỉ,1,1940
伞,伞,sǎn,~tàn,1,1941
睿,睿,ruì,duệ,1,1942
梢,梢,shāo,sao / tiêu,2,1943
洛,洛,luò,lạc / rặc,2,1944
訓,训,xùn,huấn,1,1945
训,训,xùn,~tấn,1,1945
漏,漏,lòu,lậu / lộ,2,1946
繩,绳,shéng,thằng / thừng,2,1947
绳,绳,shéng,~thằng,1,1947
隋,隋,suí,tùy / tuỳ / đọa,3,1948
娜,娜,nà,na,1,1949
姜,姜,jiāng,khương,1,1950
薑,姜,jiāng,khương / gừng,2,1950
腫,肿,zhǒng,thũng / trũng,2,1951
肿,肿,zhǒng,~thũng,1,1951
菲,菲,fēi,phỉ / phi,2,1952
雅,雅,yǎ,nhã,1,1953
臥,卧,wò,ngọa / ngoạ,2,1954
卧,卧,wò,ngọa,1,1954
鍛,锻,duàn,đoán,1,1955
鷹,鹰,yīng,ưng,1,1956
鹰,鹰,yīng,anh,1,1956
鑄,铸,zhù,chú,1,1957
铸,铸,zhù,chú,1,1957
模,模,mó,mô,1,1958
袋,袋,dài,đại / đãy,2,1959
闃,阒,qù,khuých,1,1960
吵,吵,chǎo,sảo,1,1961
哇,哇,wa,oa / oà,2,1962
災,灾,zāi,tai,1,1963
灾,灾,zāi,tai,1,1963
珂,珂,kē,kha,1,1964
醫,医,yī,y,1,1965
医,医,yī,y,1,1965
荒,荒,huāng,hoang,1,1966
誓,誓,shì,thệ / thề,2,1967
丈,丈,zhàng,trượng,1,1968
熷,熷,zēng,tưng,1,1969
潵,潵,sǎ,sát,1,1970
輿,舆,yú,dư,1,1971
舆,舆,yú,~du,1,1971
輔,辅,fǔ,phụ,1,1972
辅,辅,fǔ,phụ,1,1972
鮠,𬶏,wéi,nguy / ngôi,2,1973
誥,诰,gào,cáo,1,1974
诰,诰,gào,cáo,1,1974
援,援,yuán,viện / viên,2,1975
坊,坊,fāng,phường / phòng,2,1976
彭,彭,péng,bành / bang / bàng,3,1977
洒,洒,sǎ,sái / thối / tẩy,3,1978
灑,洒,sǎ,sái / rưới / rợi / sợi / rạy / rởi,6,1978
瓙,瓙,dao4,đạo,1,1979
兀,兀,wù,ngột,1,1980
刃,刃,rèn,nhận / nhẫn,2,1981
宸,宸,chén,thần,1,1982
斑,斑,bān,ban,1,1983
袖,袖,xiù,tụ,1,1984
枯,枯,kū,khô,1,1985
燙,烫,tàng,năng,1,1986
烫,烫,tàng,~năng,1,1986
硅,硅,guī,khuê,1,1987
辣,辣,là,lạt / lượt,2,1988
雌,雌,cí,thư,1,1989
妾,妾,qiè,thiếp,1,1990
霑,沾,zhān,triêm / dìm,2,1991
沾,沾,zhān,triêm / chăm / điếp,3,1991
泄,泄,xiè,tiết / tướt / duệ,3,1992
剝,剥,bō,bác / bóc,2,1993
剥,剥,bō,bóc,1,1993
弓,弓,gōng,cung,1,1994
損,损,sǔn,tổn / tốn,2,1995
损,损,sǔn,~tốn,1,1995
嬪,嫔,pín,tần,1,1996
擅,擅,shàn,thiện / chen,2,1997
欎,欎,yù,uất,1,1998
蔣,蒋,jiǎng,tương / tưởng,2,1999
蒋,蒋,jiǎng,chương,1,1999
祕,秘,mì,bí,1,2000
秘,秘,mì,bí,1,2000
喪,丧,sàng,tang / táng,2,2001
丧,丧,sàng,tang,1,2001
匹,匹,pǐ,thất / thớt,2,2002
鎯,鎯,láng,lang,1,2003
凿,凿,záo,tạc,1,2004
揉,揉,róu,nhu / nhụ,2,2005
氢,氢,qīng,~khinh,1,2006
詳,详,xiáng,tường,1,2007
详,详,xiáng,tường,1,2007
垫,垫,diàn,điện,1,2008
捐,捐,juān,quyên / quen / quên,3,2009
盞,盏,zhǎn,trản / chén,2,2010
盏,盏,zhǎn,~chén,1,2010
购,购,gòu,~cấu,1,2011
腸,肠,cháng,tràng / trường,2,2012
肠,肠,cháng,tường,1,2012
薩,萨,sà,tát,1,2013
萨,萨,sà,sát,1,2013
戟,戟,jǐ,kích,1,2014
勿,勿,wù,vật,1,2015
磕,磕,kē,khái,1,2016
虜,虏,lǔ,lỗ,1,2017
虏,虏,lǔ,lỗ,1,2017
否,否,fǒu,phủ / bĩ / bỉ / phầu,4,2018
董,董,dǒng,đổng,1,2019
窟,窟,kū,quật,1,2020
唯,唯,wéi,duy / dõi / dụy / duỵ,4,2021
惱,恼,nǎo,não,1,2022
恼,恼,nǎo,~não,1,2022
錳,锰,měng,mãnh / mạnh,2,2023
锰,锰,měng,mãnh,1,2023
笂,笂,wan2,vạn,1,2024
侄,侄,zhí,điệt / chất,2,2025
欺,欺,qī,khi,1,2026
跺,跺,duò,đoá,1,2027
尘,尘,chén,trần,1,2028
简,简,jiǎn,~giản,1,2029
鼎,鼎,dǐng,đỉnh,1,2030
藝,艺,yì,nghệ,1,2031
艺,艺,yì,ớt,1,2031
究,究,jiū,cứu,1,2032
舟,舟,zhōu,chu,1,2033
逢,逢,féng,phùng,1,2034
姝,姝,shū,xu,1,2035
偶,偶,ǒu,ngẫu,1,2036
俠,侠,xiá,hiệp,1,2037
侠,侠,xiá,~hiệp,1,2037
恰,恰,qià,kháp,1,2038
笛,笛,dí,địch,1,2039
扮,扮,bàn,phẫn / ban / bán,3,2040
奕,奕,yì,dịch,1,2041
渝,渝,yú,du,1,2042
宴,宴,yàn,yến,1,2043
碱,碱,jiǎn,thiêm,1,2044
倉,仓,cāng,thương / thảng,2,2045
仓,仓,cāng,thương,1,2045
束,束,shù,thúc / thú / thút,3,2046
惟,惟,wéi,duy,1,2047
逐,逐,zhú,trục,1,2048
串,串,chuàn,xuyến,1,2049
呜,呜,wū,ô,1,2050
倫,伦,lún,luân,1,2051
伦,伦,lún,lân,1,2051
撈,捞,lāo,lao / liệu / lau,3,2052
捞,捞,lāo,lau,1,2052
泊,泊,pō,bạc / phách,2,2053
示,示,shì,thị / kì,2,2054
桌,桌,zhuō,trác,1,2055
砂,砂,shā,sa,1,2056
闂,闂,hong4,hồng,1,2057
闄,闄,yao3,yêu,1,2058
剌,剌,là,lạt,1,2059
髒,脏,zāng,tảng / tang,2,2060
臟,脏,zàng,tạng,1,2060
脏,脏,zàng,~tạng,1,2060
覓,觅,mì,mịch,1,2061
觅,觅,mì,mịch,1,2061
拚,拚,pàn,biện / phấn / phiên / bính,4,2062
鰲,鳌,áo,ngao,1,2063
鳌,鳌,áo,ngao,1,2063
